Population,Sample,Bioproject,Biosample,Breed,Alias,Sex,Reference,SFS,Path
EUD,MA01F20,PRJEB9922,SAMEA3497855,Mangalica,MA01F20,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/MA01F20_Mangalica_rh.bam
EUD,MW01F29,PRJEB9922,SAMEA3497856,Middle_White,MW01F29,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/MW01F29_Middle_White_rh.bam
EUD,MW01F33,PRJEB9922,SAMEA3497857,Middle_White,MW01F33,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/MW01F33_Middle_White_rh.bam
EUD,NI01U07,PRJEB9922,SAMEA3497858,Negro_Iberico,NI01U07,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/NI01U07_Negro_Iberico_rh.bam
EUD,NS01F05,PRJEB9922,SAMEA3497859,Nera_Siciliana,NS01F05,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/NS01F05_Nera_Siciliana_rh.bam
EUD,PI21F02,PRJEB1683,SAMEA1557430,Pietrain,PI21F02,Female,Bosse_et_al_2014,1,/home/wageningen/inbox/modernpigs/evan/PI21F02_rh.bam
EUD,PI21F06,PRJEB1683,SAMEA1557432,Pietrain,PI21F06,Female,Bosse_et_al_2014,1,/home/wageningen/inbox/modernpigs/evan/PI21F06_rh.bam
EUD,PI21F07,PRJEB30282,,Pietrain,,Female,Frantz_et_al_2019,1,/home/wageningen/inbox/modernpigs/evan/PI21F07_Pietrain_rh.bam
EUD,PI21F08,PRJEB30282,,Pietrain,,Female,Frantz_et_al_2019,1,/home/wageningen/inbox/modernpigs/evan/PI21F08_Pietrain_rh.bam
EUD,PI21F09,PRJEB30282,,Pietrain,,Female,Frantz_et_al_2019,1,/home/wageningen/inbox/modernpigs/evan/PI21F09_Pietrain_rh.bam
EUD,PI21M17,PRJEB1683,SAMEA1557392,Pietrain,PI21M17,Male,Bosse_et_al_2014,1,/home/wageningen/inbox/modernpigs/evan/PI21M17_rh.bam
EUD,PI21M20,PRJEB9922,SAMEA3497860,Pietrain,PI21M20_Pietrain,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/PI21M20_rh.bam
EUD,PI21M21,PRJEB9922,SAMEA3497791,Pietrain,PI21M21_Pietrain,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/PI21M21_rh.bam
EUD,RE01F51,PRJEB9922,SAMEA3497861,Retinto,RE01F51,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/RE01F51_Retinto_rh.bam
EUD,TA01F19,PRJEB9922,SAMEA3497862,Tamworth,TA01F19,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/TA01F19_Tamworth_rh.bam
EUD,TA01M06,PRJEB9922,SAMEA3497863,Tamworth,TA01M06,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/TA01M06_Tamworth_rh.bam
EUW,WB21F03,PRJEB9922,SAMEA3497864,Dutch_wild1,WB21F03,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/WB21F03_rh.bam
EUW,WB21F04,PRJEB9922,SAMEA3497865,Dutch_wild1,WB21F04,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/WB21F04_rh.bam
EUW,WB21F05,PRJEB9922,SAMEA3497866,Dutch_wild1,WB21F05,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/WB21F05_Netherlands_rh.bam
EUW,WB21F10,PRJEB9922,SAMEA3497867,Netherlands,WB21F10,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/WB21F10_WBNetherlands_rh.bam
EUW,WB21M03,PRJEB9922,SAMEA3497868,Dutch_wild1,WB21M03,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/WB21M03_Netherlands_rh.bam
EUW,WB21M05,PRJEB9922,SAMEA3497869,Dutch_wild1,WB21M05,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/WB21M05_rh.bam
EUW,WB22F01,PRJEB9922,SAMEA3497870,Dutch_wild2,WB22F01,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/WB22F01_NL_rh.bam
EUW,WB22F02,PRJEB9922,SAMEA3497871,Dutch_wild2,WB22F02,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/WB22F02_NL_rh.bam
EUW,WB22F03,PRJEB9922,SAMEA3497872,Dutch_wild2,WB22F03,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/WB22F03_rh.bam
EUW,WB22F04,PRJEB9922,SAMEA3497873,Dutch_wild2,WB22F04,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/WB22F04_rh.bam
EUW,WB22M02,PRJEB9922,SAMEA3497874,Netherlands,WB22M02,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/WB22M02_rh.bam
EUW,WB22M03,PRJEB9922,SAMEA3497875,Dutch_wild2,WB22M03,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/WB22M03_rh.bam
EUW,WB25U11,PRJEB9922,SAMEA3497876,French_wild,WB25U11_WildBoar,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/WB25U11_rh.bam
EUW,WB26M09,PRJEB9922,SAMEA3497877,Swiss_wild,WB26M09,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/WB26M09_Malcantone_rh.bam
EUW,WB28F31,PRJEB9922,SAMEA3497878,Italy1,WB28F31,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/WB28F31_WBItaly_rh.bam
EUW,WB28M39,PRJEB9922,SAMEA3497879,Italy1,WB28M39,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/WB28M39_WBItaly_rh.bam
EUW,WB42M09,PRJEB9922,SAMEA3497886,Italy2,WB42M09,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/WB42M09_WBItaly_rh.bam
EUW,WB44U06,PRJEB9922,SAMEA3497887,Italian_wild,WB44U06,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/WB44U06_WBItaly_rh.bam
EUW,WB44U07,PRJEB9922,SAMEA3497888,Italian_wild,WB44U07,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/WB44U07_WBItaly_rh.bam
NEW,WB33U04,PRJEB9922,SAMEA3497884,Samos_wild,WB33U04,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/WB33U04_WBSamos_rh.bam
NEW,WB33U05,PRJEB9922,SAMEA3497885,Samos_wild,WB33U05,Female,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/WB33U05_WBSamos_rh.bam
NEW,WB72U01,PRJEB9922,SAMEA3497889,Near_East,WB72U01,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/WB72U01_Armenia_rh.bam
OUT,SVSV01U01,PRJEB9922,SAMEA3497792,Sus_verrucosus,SVSV01U01,Male,Frantz_et_al_2015,1,/home/wageningen/inbox/modernpigs/evan/Sverrucosus_rh.bam
