Extraction No.	Mapped Reads	Total Reads	% Mapped	% Mapped-Q30	MT_reads	Duplicates	ReadLen (Mapped)	SD ReadLen (Mapped)	ReadLen (All)	SD ReadLen (All)	P5	P8	Pool	Species	Path
AA353	13396	227166	5.897009236	3.783136561	1931	0.8171	41.75795918	11.32293462	62.46153917	13.01790294	9	45	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA353_trim_adRm.fq.gz
AA354	28164	171918	16.38222874	9.930897288	3386	0.8357	37.99827064	10.81740326	54.32873703	14.92497155	10	45	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA354_trim_adRm.fq.gz
AA355	4547	172426	2.637073295	0.949972742	270	0.806	38.76984127	16.11572359	62.52715379	12.74707367	11	45	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA355_trim_adRm.fq.gz
AA356	1781	67615	2.63403091	1.372476521	157	0.6811	33.03873239	19.33156113	57.36535044	15.51422002	12	45	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA356_trim_adRm.fq.gz
AA359	26	9120	0.285087719	0.076754386	8	0.0769	31.83333333	16.52315021	65.8017109	12.20959464	2	46	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA359_trim_adRm.fq.gz
AA369	31188	195861	15.92353761	9.428114837	4957	0.7267	44.57865103	12.23150168	61.26410813	13.11796939	12	46	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA369_trim_adRm.fq.gz
AA372	17358	95998	18.0816267	10.6127211	2699	0.7511	42.59189815	12.73146444	55.89343057	15.69628001	2	47	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA372_trim_adRm.fq.gz
AA375	203	15785	1.286031042	0.70319924	115	0.2069	52.14285714	13.88562978	58.36778251	12.14599219	4	47	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA375_trim_adRm.fq.gz
AA376	7948	42115	18.87213582	11.09106019	1179	0.7991	45.88290545	12.32641639	57.37453864	13.28055227	5	47	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA376_trim_adRm.fq.gz
AA381	61	441	13.83219955	8.843537415	25	0.5082	55.4	13.96448698	61.54878049	13.46693173	10	47	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA381_trim_adRm.fq.gz
AA382	65822	222087	29.63793468	16.85690743	7651	0.8018	43.6718271	11.82427597	51.2601395	13.49258127	11	47	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA382_trim_adRm.fq.gz
AA384	2692	338264	0.795828111	0.407669749	513	0.6556	42.92772384	15.14117002	57.90587788	11.9830016	12	47	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA384_trim_adRm.fq.gz
AA385	22396	250113	8.954352633	4.919776261	2546	0.699	40.35810711	12.77477537	51.28029754	13.5063478	13	47	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA385_trim_adRm.fq.gz
AA388	30	3206	0.935745477	0.343106675	11	0.2	38.91666667	20.87002566	61.3225	13.4895231	3	48	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA388_trim_adRm.fq.gz
AA390	6	349	1.719197708	0.859598854	4	0	53.66666667	15.38397435	63.06876791	13.73563508	5	48	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA390_trim_adRm.fq.gz
AA391	6377	20341	31.35047441	15.18607738	1204	0.6011	36.41077044	10.01151018	52.34353041	16.09226826	6	48	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA391_trim_adRm.fq.gz
AA392	315	7878	3.998476771	1.066260472	45	0.3556	23.86206897	10.08335015	61.02201906	17.46191969	7	48	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA392_trim_adRm.fq.gz
AA393	6431	121386	5.297975055	3.226072199	733	0.7792	47.01901408	13.80214787	60.9015768	11.40624841	8	48	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA393_trim_adRm.fq.gz
AA394	174	8802	1.976823449	0.227221086	11	0.3736	22.8440367	13.14461889	65.7536912	12.83620192	9	48	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA394_trim_adRm.fq.gz
AA395	4641	76821	6.041316827	2.768774163	734	0.6593	34.75205566	10.96429204	56.75436884	14.5251342	10	48	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA395_trim_adRm.fq.gz
AA398	8	376	2.127659574	0.531914894	5	0	64.5	11.13552873	64.55851064	13.05299074	13	48	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA398_trim_adRm.fq.gz
AA399	85	1761	4.826802953	3.463940943	71	0.0471	55.79012346	14.40721698	63.15082527	13.3373743	1	49	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA399_trim_adRm.fq.gz
AA400	192	18013	1.065896852	0.49963915	92	0.2188	47.3	20.07962338	56.88414668	14.74858641	2	49	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA400_trim_adRm.fq.gz
AA401	8414	637592	1.319652693	0.408097969	684	0.8347	51.97915169	16.27396728	66.30711469	9.956765123	3	49	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA401_trim_adRm.fq.gz
AA403	94	1278	7.355242567	4.851330203	77	0.0106	56.09677419	13.98684515	62.61785435	13.5896395	5	49	OXF57	Pig	/media/raid5/laurent/screen_results_04112016/raw_split//Pig/AA403_trim_adRm.fq.gz
